LokasiID;Komisi;SKPDKode;SKPDNama;UrusanKode;UrusanNama;ProgramKode;ProgramTeks;Kegiatan; Anggaran ;Vol;Satuan
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.46;Program Peningkatan Kapasitas Sumber Daya Aparatur DKI;Pelaksanaan Ujian Dinas, Ujian Kenaikan Pangkat Penyesuaian Ijasah Dan Ujian Kenaikan Pangkat Peningkatan Pendidikan PNS Pemerintah Provinsi DKI Jakarta;615,399,800;2300;Pegawai
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.46;Program Peningkatan Kapasitas Sumber Daya Aparatur DKI;Sidang Badan Pertimbangan Jabatan Struktural Di Lingkungan Pemerintah Provinsi DKI Jakarta;274,999,760;24;Kali pelaksanaan
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.46;Program Peningkatan Kapasitas Sumber Daya Aparatur DKI;Penyelenggaraan Pengambilan Sumpah Pelantikan Dan Serah Terima Jabatan Struktural Di Lingkungan Pemerintah Provinsi DKI Jakarta;249,999,835;28;Kali pelaksanaan
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.42;Program Peningkatan Kesejahteraan Pegawai;Supervisi Penerapan Tunjangan Kinerja Daerah (TKD);199,999,860;150;SKPD/UKPD
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.42;Program Peningkatan Kesejahteraan Pegawai;Kajian Kebijakan Kesejahteraan Pegawai;750,549,803;2;Kajian
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.42;Program Peningkatan Kesejahteraan Pegawai;Pelaksanaan Kegiatan Donor Darah Dan Monitoring Pelaksanaan Senam Kesegaran Jasmani;124,992,720;1;Kali Donor Darah dan 44 Kali SKJ
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.46;Program Peningkatan Kapasitas Sumber Daya Aparatur DKI;Penyusunan dan Sosialisasi Pedoman Coaching dan Counseling Pegawai;49,999,850;1;Dokumen dan 1 Kali sosialisasi
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.46;Program Peningkatan Kapasitas Sumber Daya Aparatur DKI;Pengembangan Alat Ukur Assesment;89,999,765;1;CAT Kemampuan Dasar
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.71;Program Optimalisasi Pemanfaatan Teknologi Informasi SKPD Urusan Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;Penataan, Pengelolaan dan Scanning Arsip Hasil Uji Kompetensi;49,946,893;7000;Dokumen
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.47;Program Pembinaan dan Pengembangan Aparatur;Pengangkatan CPNS Menjadi PNS dan Sumpah/Janji Di Lingkungan Pemerintah Provinsi DKI Jakarta;149,999,965;200;Orang
