LokasiID,Komisi,SKPDKode,SKPDNama,UrusanKode,UrusanNama,ProgramKode,ProgramTeks,Kegiatan, Anggaran ,Vol,Satuan
2,1,1.20.114,Kelurahan Semper Barat - JAKUT,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,"Pergerakan Masyarakat dalam lingkungan RT.007, 008, 015,016,017 RW.003","25,500,000",244,M3
1,1,1.20.022,Kecamatan Tanah Abang - JAKPUS,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,Pelatihan dan penyuluhan keterampilan guru BKB PAUD RW 08 Kelurahan Bendungan Hilir,"20,000,000",1,paket
1,1,1.20.022,Kecamatan Tanah Abang - JAKPUS,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Penutupan lubang di  RT 05 GG Beringin, RW 01 Kelurahan Bendungan Hilir","46,000,000",300,m2
1,1,1.20.022,Kecamatan Tanah Abang - JAKPUS,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Penyediaan tutup saluran air, Kebon Kacang 9 RW.03 Kelurahan Kebon Kacang","25,000,000",100,m1
1,1,1.20.022,Kecamatan Tanah Abang - JAKPUS,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Perbaikan Jalan Lingkunagn RW 05 Kelurahan PetamburanJl. Petamburan V RT 002,08 RW 05 Kelurahan Petamburan","7,000,000",40,M1
1,1,1.20.022,Kecamatan Tanah Abang - JAKPUS,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.26,Program Peningkatan Kapasitas Pemerintahan Kecamatan,"Perbaikan jalan (P=100m, L=3m) Jl. Dukuh Pinggir III Rt 002 Rw 06 Kel. Kebon Melati","16,000,000",300,M2
5,1,1.20.298,Kelurahan Cawang - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Pengadaan alat/penunjang kebersihan : gerobak celeng untuk 12 Rw di wilayah Kelurahan Cawang,"50,000,000",24,Unit
2,1,1.20.109,Kelurahan Sukapura - JAKUT,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Penggerakan Masyarakat dalam Pengurasan Saluran Lingkungan RW 02,"50,000,000",233,M3
5,1,1.20.288,Kelurahan Cilangkap - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Peningkatan Pemberdayaan Perempuan,"70,000,000",10,Unit
5,1,1.20.323,Kelurahan Pisangan Baru - JAKTIM,1.2,Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.27,Program Peningkatan Kapasitas Pemerintahan Kelurahan,Penyediaan sarana dan prasarana  Kebersihan Lingkungan di wilayah Kelurahan Pisangan Baru,"75,000,000",1,paket
